Data;EMPRESTIMO;SALARY;VACATION;ADVANCE_SALARY;RESCISSION;DEPOSIT;BASIC_FOOD_BASKET;BONUS;COMMISSION;DAILY;FOOD_VOUCHER;FUEL_ASSISTANCE;MEAL_VOURCHER;PIS_PAYMENT;PROFIT_SHARING_PAYMENT;PRO_LABORE_PAYMENT;REWARD;SALARY_DIFFERENCE;THIRTEENTH_SALARY;THIRTEENTH_SALARY_FIRST_INSTALLMENT;THIRTEENTH_SALARY_SECOND_INSTALLMENT;TIP;TRANSPORTATION_VOUCHER;TOTAL_DIA
18/04/2024;184056,9;1192671,22;77561,41;1264785,17;322055,91;133448,02;2362,5;0;13201,82;27128,37;13721,32;14242,68;540;0;0;4521,93;3556,72;0;0;0;0;0;124248,02;3194045,09
19/04/2024;233838,34;326805,11;123716,48;206865,52;109924,19;196869,95;0;0;31955,65;29214,13;15999,66;4775;0;0;0;0;536,71;0;0;0;0;6;1732,95;1048401,35
20/04/2024;221594,87;233368,16;40782,58;423863,84;279878,68;148883,16;0;0;8192,29;10030,86;6702,33;1258;0;0;401;0;1998,62;0;0;0;0;0;20229,07;1175588,59
21/04/2024;116763,03;270798,74;202411,94;886091,51;260976,24;150019,31;0;0;3387,73;15240,87;4314,72;80;0;0;0;0;2123,98;0;0;1250;0;0;5339,11;1802034,15
22/04/2024;155800,15;624978,52;73763,26;1683209,84;445786,24;179444,05;0;0;1642,34;24651,71;16379,98;5290;0;0;0;23300;44424,43;0;0;0;0;0;33854,27;3156724,64
23/04/2024;128346,76;1150;0;174590,43;1105,4;4007,92;0;0;182951,52;300;0;0;0;0;0;0;23592;0;0;0;0;0;0;387697,27
24/04/2024;118721,31;40;2418,34;0;0;1500;0;0;3000;0;0;0;0;0;0;0;8469;0;0;0;0;0;0;15427,34
25/04/2024;165946,02;804578,55;214838,96;157216,46;241678,57;299031,16;0;0;807;17560,75;8885,96;150;4639,7;0;0;0;18081,65;0;0;0;0;0;9376,12;1776844,88
26/04/2024;145354,69;299602,23;266470,4;7874,1;242146,18;86637,54;0;0;183;38482,27;2699,42;249,54;0;0;0;0;1405,22;0;0;102159,31;0;0;16318,91;1064228,12
27/04/2024;136671,31;33193,91;205361,16;130;229614,27;29781,51;340;0;6368,99;23282,66;2041,28;0;225;0;423,6;0;7,65;0;0;0;0;0;3505,58;534275,61
28/04/2024;77921,22;1025851,5;121707,07;151626,36;277126,05;52420,96;0;0;3750;51563,03;6098,89;440;648,6;0;0;2000;9395;0;0;0;0;0;17507,69;1720135,15
29/04/2024;149857,52;1253188,86;837293,5;500;417234,34;89310,71;0;0;11709,05;21368,54;18849,68;7030;1146,53;0;6469,54;2000;9299,6;0;0;7880;0;0;4977,83;2688258,18
30/04/2024;765225,42;0;16674,07;1000;0;5982;0;0;164;390;0;0;0;0;0;0;4451;0;0;0;0;0;0;28661,07
01/05/2024;309206,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7855;0;0;0;0;0;0;7855
02/05/2024;754813,71;4480499,88;484932,01;800;219989,03;181063,97;0;0;0;32973,2;7980,9;1000;4847,9;0;0;0;0;0;0;14007,1;0;0;107877,1;5535971,09
03/05/2024;1232446,31;6392547,67;1070291,89;2500;153368,24;309883,69;48292,5;0;0;22049,64;187895,87;32805,5;21417,48;0;0;605350,43;17513,44;0;0;10316,08;0;0;524717,75;9398950,18
04/05/2024;668242,19;60374,99;10432,11;0;14527,27;7391,79;2000;0;0;0;300;100;2107;0;0;0;0;0;0;0;0;0;25293,6;122526,76
05/05/2024;279758,71;9528310,47;562736,81;1500;234862,52;168692,64;0;0;38615,38;15419,09;11797,4;213,81;2769,5;0;0;232925,18;8612,95;0;0;2287,87;0;0;39916,74;10848660,36
